workload,size,threads,impl,status,runs,ops_median,ops_min,ops_max,cv_pct,wall_ms_median,lat_p50_ns,lat_p99_ns,lat_p999_ns,bytes_per_task,peak_rss_kb_median,reason
mpmc-cap1,1000000,6,crossbeam,ok,10,5052532.6,4952998.9,5114522.8,1.0433063611571738,197.9248865,,,,,2176.0,
mpmc-cap1,1000000,6,go,ok,10,6698416.035207577,6572443.157600969,6751759.086432981,0.8421663397161337,149.289951,,,,,2816.0,
mpmc-cap1,1000000,6,tokio-tuned,ok,10,19030170.35,18323273.9,19937206.2,2.9662932033266083,52.551457,,,,,9042.0,
mpmc-cap1,1000000,12,tokio,ok,10,1945440.8,1805893.2,2112133.4,5.902382929117392,514.039856,,,,,2816.0,
mpmc-cap1,1000000,12,crossbeam,ok,10,4829548.550000001,4500472.5,4872152.7,2.313143637085472,207.0586915,,,,,2176.0,
mpmc-cap1,1000000,12,go,ok,10,6204475.950206384,6029580.943220009,6269858.483588454,1.150348955353339,161.173969,,,,,2816.0,
mpmc-cap1,1000000,12,tokio-tuned,ok,10,18117551.5,17667902.9,18442944.8,1.2166372477299043,55.1952265,,,,,9178.0,
pingpong,1000000,1,tokio,ok,10,7552483.7,3885771.0,7663672.3,22.347296795230996,132.4068065,200.0,381.0,451.0,,3456.0,
pingpong,1000000,1,crossbeam,ok,10,134996.95,133395.8,135413.7,0.4760018408650179,7407.574311,7374.0,8611.0,12949.0,,2816.0,
pingpong,1000000,1,go,ok,10,3781673.0661692712,3769031.346882951,3842722.2213117103,0.80442013170154,264.433227,271.0,321.0,511.0,,3072.0,
pingpong,1000000,1,tokio-tuned,ok,10,13233473.4,12952987.8,13386642.9,1.1142192148651648,75.565951,100.0,301.0,330.0,,9178.0,
pingpong,1000000,2,tokio,ok,10,4309364.65,3203589.7,4350462.3,8.366290333118137,232.052768,190.0,2244.5,2610.0,,3200.0,
pingpong,1000000,2,crossbeam,ok,10,3810857.75,3805635.5,3829573.2,0.20145235236627723,262.4081495,240.0,291.0,1072.0,,2688.0,
pingpong,1000000,2,go,ok,10,4107249.611540919,4092455.42705241,4134274.48824214,0.35654630431712175,243.4720445,241.0,321.0,2460.0,,3072.0,
pingpong,1000000,2,tokio-tuned,ok,10,7242703.5,7140435.6,7397952.1,1.141653046109961,138.0709,85.5,2159.0,2339.5,,9304.0,
pingpong,1000000,6,tokio,ok,10,4373661.75,4241394.7,4412036.0,1.2517913627937476,228.641815,190.0,2224.5,2635.0,,3072.0,
pingpong,1000000,6,crossbeam,ok,10,3878699.4,3784062.0,4194111.3,4.09368737750071,257.8833485,281.0,301.0,1087.0,,2560.0,
pingpong,1000000,6,go,ok,10,4001902.5233441405,3901280.210953145,4056419.5715721603,1.0962611580920967,249.881206,241.0,420.5,2660.0,,3072.0,
pingpong,1000000,6,tokio-tuned,ok,10,7721519.199999999,7551708.1,7846693.7,1.3951847772848218,129.508985,90.0,2149.0,2349.0,,11174.0,
pingpong,1000000,12,tokio,ok,10,4372367.800000001,4142606.8,4433918.9,2.5817255206589316,228.709503,190.0,2179.0,2580.0,,3200.0,
