workload,size,threads,impl,status,runs,expected_runs,ops_median,ops_min,ops_max,cv_pct,ops_ci_low,ops_ci_high,wall_ms_median,cpu_s_median,ops_per_cpu_s,lat_p50_ns,lat_p99_ns,lat_p999_ns,bytes_per_task,peak_rss_kb_median,reason
select,10000000,1,tokio+mimalloc,ok,3,3,20163720.7,20053301.8,20405650.0,0.8918351287415105,20053301.8,20405650.0,495.940217,,,,,,,7364,
select,10000000,1,tokio+batch,ok,3,3,31713884.9,31650660.9,32088572.9,0.7439187121721633,31650660.9,32088572.9,315.3193,,,,,,,3200,
select,10000000,1,tokio+unconstrained,ok,3,3,17998268.1,17972268.5,18104123.4,0.3874727996540997,17972268.5,18104123.4,555.609013,,,,,,,3072,
select,10000000,1,tokio+biased,ok,3,3,23209719.9,23133757.0,23396883.5,0.5825444871415181,23133757.0,23396883.5,430.853972,,,,,,,3200,
select,10000000,2,tokio,ok,3,3,19046628.3,19038235.4,19105756.3,0.19304094229650723,19038235.4,19105756.3,525.027309,,,,,,,2944,
select,10000000,2,tokio+mimalloc,ok,3,3,19447407.4,19148240.9,19608436.6,1.2036664757651565,19148240.9,19608436.6,514.207358,,,,,,,7236,
select,10000000,2,tokio+batch,ok,3,3,28283102.5,28119927.7,28374258.8,0.4559727892192677,28119927.7,28374258.8,353.568001,,,,,,,2944,
select,10000000,2,tokio+unconstrained,ok,3,3,15728334.2,15331508.9,16500218.0,3.748734450970003,15331508.9,16500218.0,635.795239,,,,,,,3072,
select,10000000,2,tokio+biased,ok,3,3,11078298.5,11043899.6,11130286.8,0.39237090993732937,11043899.6,11130286.8,902.665694,,,,,,,3072,
select,10000000,12,tokio,ok,3,3,18699433.3,18495412.1,18813808.6,0.8639087347268769,18495412.1,18813808.6,534.775565,,,,,,,3072,
select,10000000,12,tokio+mimalloc,ok,3,3,19260409.5,18233907.1,19439966.6,3.428733398897353,18233907.1,19439966.6,519.199761,,,,,,,9336,
select,10000000,12,tokio+batch,ok,3,3,32546010.8,30073541.8,32677292.3,4.6177219654947335,30073541.8,32677292.3,307.257318,,,,,,,3072,
select,10000000,12,tokio+unconstrained,ok,3,3,17909041.0,17736238.6,18498893.1,2.2156446792443316,17736238.6,18498893.1,558.377191,,,,,,,3072,
select,10000000,12,tokio+biased,ok,3,3,11854726.6,11830499.1,11895391.5,0.27648199800448764,11830499.1,11895391.5,843.545395,,,,,,,2944,
